"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","15","2.500","6.7","6.7","40.0",".","33.3","13.3",".",".",".",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","7","2.583",".","28.6","14.3","14.3","14.3","14.3",".","14.3",".",".",".",".",".",".",".","."
"312
Regional Develop & Planning","001","","14","3.214","28.6","21.4","35.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"420
Urban & Regional Economics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"505
Urban Spatial Patterns&Thry","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"548
Environmental Aesthetics","001","","9","2.556","11.1","11.1","33.3","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".","."
"617
Community Development","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"677
Urbanism and Urbanization","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"705
Leadership Dynamics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"721","001","","9","3.444","22.2","55.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"721","002","","7","3.583","42.9","14.3","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Methods-Planning Analysis","Course Total","","16","3.500","31.3","37.5","18.8","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"741
Introduction to Planning","001","","21","3.700","47.6","38.1","9.5",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"839
Land Use & Com Sys Planning","001","","11","3.750","54.5","27.3","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"843
Land Use Policy & Planning","001","","27","3.538","18.5","66.7","11.1",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"858
Intl Development & Policy","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Theory&Practice-Ed Planning","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"939
Seminar in Social Planning","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"969","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"969","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr:Trends&Iss-Public Plan","Course Total","","15","3.893","73.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"974
Topics in Public Affairs","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
