"NURSING","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"","105","001","31","3.935","87.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105","002","118","3.953","92.4","5.9","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","","Course Total","149","3.951","91.3","7.4","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Nursing Practice","212","001","101","3.842","71.3","25.7","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nursing I","219","001","98","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlth Hist&Patient Assessmnt","301","001","98","3.689","41.8","54.1","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Narrative Anal-Nursing Prac","306","001","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology & Nursing","310","001","36","3.472","25.0","47.2","25.0","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Health Nursing","322","001","66","3.955","95.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","332","001","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theoretical Foundations","341","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419","001","59","3.958","91.5","8.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","422","001","105","3.843","77.1","18.1","2.9",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","433","001","109","3.959","92.7","6.4","0.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434","003","8","3.250","12.5","25.0","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","444","003","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449","001","44","3.886","79.5","18.2","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primary Health Care-School","470","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in School Nursing","472","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","020","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","025","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","","Course Total","16","3.786","75.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","590","001","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590","002","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","","Course Total","14","3.667","14.3","28.6",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Assessment-Primary Care","601","001","26","3.596","53.8","23.1","11.5","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"","613","040","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","613","041","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac I","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","614","010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","020","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","614","050","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac II","","Course Total","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinicl Educ-Nursing Pract","672","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 371 of 391",""
