"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"","105
001","","24","3.729","75.0","20.8",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","002
105","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","39","3.806","74.4","23.1",".",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","","179","3.542","46.4","33.5","10.6","3.9","3.9",".","1.1","0.6",".",".",".",".",".",".",".","."
"","400
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
002","","9","3.769","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
004","","10","3.908","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
006","","7","3.933","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
007","","12","3.849","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","","7","3.767","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
010","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","","10","3.963","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","","90","3.918","84.4","14.4","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","401
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","440
001","","19","3.447","36.8","15.8","47.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
440","","27","3.796","59.3","40.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
003","","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","","25","3.880","76.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice Soc Work I","Course Total","","96","3.776","64.6","26.0","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work Advocacy & The Law","450
001","","22","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interpersonal Skills Devel","458
001","","96","3.865","78.1","17.7","3.1","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"The Afro-American Family","521
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Family Violence","523
001","","38","3.108","18.4","28.9","31.6","13.2",".",".","5.3","2.6",".",".",".",".",".",".",".","."
"Homelessness: Service Learning","578
001","","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Field of Social Work","605
001","","56","3.804","69.6","21.4","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","54","3.648","64.8","18.5","9.3",".","5.6","1.9",".",".",".",".",".",".",".",".",".","."
"Social Work and Adolescents","642
001","","27","3.855","88.9","7.4",".",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","25","3.264","28.0","20.0","28.0",".","4.0","4.0",".","8.0",".",".",".",".","4.0",".","4.0","."
"","002
644","","17","3.202","35.3","29.4","17.6",".","5.9",".","5.9","5.9",".",".",".",".",".",".",".","."
"","644
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","Course Total","","43","3.260","32.6","23.3","23.3",".","4.7","2.3","2.3","7.0",".",".",".",".","2.3",".","2.3","."
"Child Abuse and Neglect","646
001","","30","3.820","70.0","26.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650
002","","21","2.976","23.8",".","47.6","4.8","23.8",".",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","","15","3.821","66.7","20.0","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Intl Aspects of Social Work","659
001","","16","3.898","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
010","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 288 of 391",""
