"","760
123","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","112","3.653","61.6","21.4","6.3","8.9","1.8",".",".","",".","",".",".","",".",".","",".",".",".","."
"Conf:Rsch Workers Hosp Phm","961
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".","",".","",".",".","",".",".","",".",".","."
"Advanced Independent Study","999
027","5","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"PHM PRAC
728","Dept. Total","743","3.480","47.0","17.9","14.7","11.7","7.0","0.7","0.5","","0.3","",".",".","",".","0.3","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Junior","","2","3.833","50.0","50.0",".",".",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","7","3.893","85.7",".",".","14.3",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","10","3.889","80.0","10.0",".","10.0",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Special","","18","3.524","38.9","33.3","16.7","11.1",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Graduate","","21","3.750","38.1","19.0","9.5",".",".",".",".","",".","",".",".","",".","33.3","",".",".",".","."
"Prof Yr 1","","279","3.439","54.8","11.8","12.5","9.0","9.7","1.4","0.7","",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","350","2.930","37.4","9.1","21.4","21.1","7.7","1.4","1.7","",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","339","3.158","39.5","18.3","23.9","12.4","4.7","0.3","0.9","",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","193","3.899","88.1","7.3","3.1","0.5","0.5","0.5",".","",".","",".",".","",".",".","",".",".",".","."
"Professionals","","1161","3.460","50.6","12.1","17.0","12.2","6.1","0.9","0.9","",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","1210","3.465","50.5","12.6","16.7","12.0","5.9","0.9","0.9","",".","",".",".","",".","0.6","",".",".",".","."
