"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"681","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","3.833","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"698","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","3","***","","","","","","","","","","","","","","","",""
"700
Nursing Research I","001","","26","3.580","46.2","26.9","19.2",".","3.8",".",".",".",".",".",".",".",".","3.8",".","."
"701
Interpretv Rsch-Health Care","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Hlth Promo&Disease Prevention","001","","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Hlth Care & Public Policy-US","001","","17","3.559","29.4","52.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Leadershp-Roles,Ethics,Care","001","","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715
Preventn&Mgmt-Hlth Probs I","040","","12","4.000","91.7",".",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"716","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"716","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"716","050","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Preventn&Mgmt-Hlth Probs II","Course Total","","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"719","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"719","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"719","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"719","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","Course Total","","10","",".",".",".",".",".",".",".","90.0","10.0",".",".",".",".",".",".","."
"733
Birth&The Postbirth Period","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"745
Prev Hlth Care-Childn&Adol","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Chron Illnss","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-A Functional Area","Course Total","","4","***","","","","","","","","","","","","","","","",""
"755
Adv Prac Nur:Ment Hlth Promotn","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Smr-Nursing Administration","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
