"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"812","061","","20","3.450","15.0","60.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","15","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","17","3.441","5.9","76.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","18","3.389","5.6","66.7","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","70","3.443","11.4","65.7","22.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","3","***","","","","","","","","","","","","","","","",""
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Subinternship-CSC","Course Total","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Clin Pediat Clerk-Green Bay","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"926
Ambul Clin Ped Clerk-LaCros","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Subintrn Newborn Med-Meritr","Course Total","","5","***","","","","","","","","","","","","","","","",""
"929
Gen Outpatient Peds-Marshfl","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Peds Sub-Intrn Newborn-Milw","Course Total","","2","***","","","","","","","","","","","","","","","",""
"940","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adolescent Med Clerk-CSC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"946","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
