"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Agri & Econ Development-Africa","477","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Transport Economics","478","001","","7","3.250","14.3","28.6","28.6","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"Economics of Transportation","502","001","","14","2.154",".","7.1",".","21.4","57.1","7.1",".","7.1",".",".",".",".",".",".",".","."
"Wealth and Income","508","002","","32","2.732","15.6","21.9","18.8","21.9","9.4","3.1","9.4",".",".",".",".",".",".",".",".","."
"Law and Economics","522","001","","37","3.378","18.9","43.2","32.4","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Public Sector Bargaining","539","001","","9","3.278","11.1","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Population and Society","663","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Mathematical Economics I","703","001","","69","3.327","30.4","24.6","24.6","20.3",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Stats & Econometrics I","709","001","","84","3.280","22.6","29.8","35.7","8.3",".","2.4",".","1.2",".",".",".",".",".",".",".","."
"","711","001","","45","3.100","13.3","6.7","68.9","8.9","2.2",".",".",".",".",".",".",".",".",".",".","."
"","711","002","","34","3.074","14.7","8.8","61.8","5.9","8.8",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","","Course Total","","79","3.089","13.9","7.6","65.8","7.6","5.1",".",".",".",".",".",".",".",".",".",".","."
"","712","001","","38","3.355","34.2","13.2","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","712","002","","20","3.474","30.0","30.0","35.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Thry: Macroeconomics Seqnce","","Course Total","","58","3.395","32.8","19.0","39.7","6.9",".",".",".",".",".",".",".",".","1.7",".",".","."
"Econometric Methods","715","001","","28","3.315","17.9","25.0","53.6",".",".",".",".",".",".",".",".",".",".","3.6",".","."
"Public Finance & Fiscal Pol","741","001","","10","3.500","50.0",".","30.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Labor Economics","750","001","","10","3.500","10.0","80.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Organizat Theory","761","001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Bayesian Decisn&Cntrl","775","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Microeconomic Theory II","806","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics - Public Finance","845","001","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","871","001","","12","3.364","33.3","16.7","33.3",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Adv International Economics","872","001","","9","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp in Math Econ Theory","901","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","903","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop in Econometrics","913","001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","955","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","965","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop-Public Economics","968","001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","977","001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 196 of 391",""
