"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","191","3.136","35.6","12.6","29.3","5.2","11.0","4.2","2.1",".",".",".",".",".",".",".",".","."
"Introduction to Phonetics","200","001","17","3.618","64.7","17.6","5.9",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","28","3.071","17.9","21.4","39.3","14.3",".","7.1",".",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","42","3.536","52.4","21.4","11.9","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Speech & Lang Functs-Brain","210","001","33","3.470","45.5","30.3","15.2","3.0","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","112","3.129","22.3","20.5","34.8","8.9","11.6","1.8",".",".",".",".",".",".",".",".",".","."
"Speech Acoustics,Perception","303","001","49","3.302","30.6","36.7","16.3","6.1","4.1",".","4.1","2.0",".",".",".",".",".",".",".","."
"Speech Pathology I","315","001","48","3.573","47.9","37.5","6.3","6.3",".",".","2.1",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","18","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","390","002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manually Coded English-SL I","424","001","78","3.724","65.4","19.2","10.3","1.3",".",".","1.3","2.6",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","34","3.250","38.2","11.8","29.4","8.8","8.8","2.9",".",".",".",".",".",".",".",".",".","."
"Neurl Mech Speech,Hear&Lang","503","001","36","3.625","50.0","27.8","19.4","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","510","001","6","3.750","83.3",".",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","510","002","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internet Resources-Com Dis","","Course Total","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631","001","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","640","001","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Practicum in Com Dis","692","001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Audiol-Speech/Lang Pathlgst","700","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dysphasia in Adults","712","001","37","3.608","29.7","62.2","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Treatment of Stuttering","719","001","41","3.756","51.2","48.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aug Com Sys-Severly Handcp","731","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","007","16","3.912","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 184 of 391",""
