"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"501
Radiographic Anat-Dog&Cat","001","","82","3.579","47.6","23.2","28.0",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"542
Veterinary Ophthalmology","001","","77","3.552","41.6","35.1","15.6","7.8",".",".",".",".",".",".",".",".",".",".",".","."
"630
Small Animal Surgery","001","","77","3.071","11.7","22.1","46.8","7.8","11.7",".",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"642","001","","31","4.000","3.2",".",".",".",".",".",".","96.8",".",".",".",".",".",".",".","."
"642","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","34","4.000","5.9",".",".",".",".",".",".","94.1",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","22","4.000","36.4",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"645","001","","38","4.000","23.7",".",".",".",".",".",".","76.3",".",".",".",".",".",".",".","."
"645","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","43","4.000","25.6",".",".",".",".",".",".","74.4",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","25","4.000","36.0",".",".",".",".",".",".","64.0",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","31","2.500","3.2",".",".",".",".","3.2",".","93.5",".",".",".",".",".",".",".","."
"675
Special Topics","001","","15","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","12","3.920","75.0","16.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","24","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"746
Food Animal Surgery","001","","15","3.533","40.0","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"775","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
