"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","460","3.017","18.9","24.8","22.8","12.8","14.3","3.5","0.7","2.0",".",".",".",".","0.2",".",".","."
"Contemporary Amer Society","125","001","295","3.213","25.8","30.8","19.3","10.5","10.2","1.4","0.7","1.0",".",".",".",".",".",".",".","0.3"
"Social Problems","130","001","97","3.278","10.3","40.2","46.4","1.0","2.1",".",".",".",".",".",".",".",".",".",".","."
"Criminal Justice in America","131","002","107","3.584","61.7","14.0","15.9","3.7","3.7",".","0.9",".",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","134","002","613","3.473","28.4","37.2","30.8","1.5",".",".",".","2.1",".",".",".",".",".",".",".","."
"The Sociology of Gender","138","002","99","3.707","62.6","27.3","4.0","1.0","5.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Rural Sociol&Development","140","001","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160","001","184","2.837","12.5","19.6","28.3","15.8","16.3","3.8","2.2","1.6",".",".",".",".",".",".",".","."
"","198","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","198","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","199","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","061","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","11","3.897","81.8",".","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"Survey of Sociology","210","001","126","3.266","22.2","32.5","31.0","7.1","3.2","1.6","0.8","0.8",".",".",".",".",".","0.8",".","."
"Gender & Work-Rural America","215","001","12","3.375","33.3","33.3","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","46","3.641","45.7","43.5","6.5","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"Food, Culture, and Society","222","001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Chinese Society","225","001","26","3.288","30.8","26.9","23.1","15.4",".","3.8",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236","001","22","3.545","31.8","50.0","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","10","3.000","30.0","10.0","20.0","10.0",".",".","10.0","20.0",".",".",".",".",".",".",".","."
"Organizations and Society","250","001","28","3.250","42.9","10.7","14.3","3.6","7.1","3.6","3.6","14.3",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","38","3.167","13.2","34.2","23.7","18.4","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Africa: Introductory Survey","277","001","26","2.692","11.5","7.7","50.0",".","19.2","7.7","3.8",".",".",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","327","001","14","2.857","14.3","14.3","14.3","42.9","14.3",".",".",".",".",".",".",".",".",".",".","."
"","357","001","35","3.314","20.0","45.7","22.9",".","11.4",".",".",".",".",".",".",".",".",".",".","."
"","357","002","34","3.000","17.6","20.6","32.4","14.7","8.8","5.9",".",".",".",".",".",".",".",".",".","."
"","357","003","45","3.744","66.7","20.0","11.1",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"","357","004","43","3.174","25.6","20.9","27.9","14.0","11.6",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","","Course Total","157","3.331","34.4","26.1","22.9","7.0","8.3","1.3",".",".",".",".",".",".",".",".",".","."
"","360","001","36","3.153","30.6","22.2","22.2","13.9","2.8","8.3",".",".",".",".",".",".",".",".",".","."
"","360","002","31","2.790","19.4","22.6","22.6","12.9","9.7","3.2","9.7",".",".",".",".",".",".",".",".","."
"","360","003","39","3.115","17.9","20.5","43.6","12.8",".","5.1",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","","Course Total","106","3.033","22.6","21.7","30.2","13.2","3.8","5.7","2.8",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","26","3.340","23.1","34.6","26.9","7.7","3.8",".",".",".",".",".",".",".","3.8",".",".","."
"Stats for Sociologists III","362","001","19","3.684","42.1","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computing-Sociologcl Resrch","365","001","12","3.292","58.3",".","25.0","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Contemp Populatn Probs-Honors","380","001","10","3.450","20.0","50.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441","001","103","3.688","60.2","20.4","12.6","3.9","1.0",".",".","1.0",".",".",".",".",".",".","1.0","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 291 of 391",""
