"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Neurology","Course Total","","2","***","","","","","","","","","","","","","","","",""
"812","031","","13","3.346","23.1","23.1","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","032","","13","3.269","23.1","15.4","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"812","033","","13","3.385","23.1","30.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","034","","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","035","","13","3.269","15.4","30.8","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"812","036","","11","3.364","27.3","18.2","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Neurology","Course Total","","73","3.342","23.3","24.7","49.3","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Neurol Consul Serv-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"923","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Neurol-Outpt Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"924
Neuromusc Disease Clerk-CSC","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"NEUROL
676","Dept. Total","","84","3.410","29.8","22.6","44.0","2.4",".",".",".",".",".",".",".",".",".",".",".","1.2"
