"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","699
067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
070","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
001","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","712
001","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
712","28","3.833","64.3","32.1",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Psychopathology in Soc Wrk","Course Total","46","3.856","69.6","28.3",".",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
001","24","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Chron Illnss","746
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
001","11","3.880","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
800","9","3.891","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
008","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
009","8","3.803","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
011","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
012","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","013
800","19","3.920","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
014","13","3.935","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
800","15","3.964","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
016","7","3.621","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","122","3.890","82.0","14.8","2.5","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","801
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aging & Mental Hlth-Illness","821
001","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"Case Management","845
001","21","3.762","57.1","38.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Service Organizations","871
001","13","3.917","84.6",".","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Spec Iss-Health Care Settng","873
001","23","3.783","65.2","26.1","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","001
921","24","3.563","33.3","54.2","8.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","923
001","25","3.800","72.0","16.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Problems & Soc Work","924
001","25","3.960","96.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work and Alcoholism","928
001","20","3.675","55.0","30.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Hist & Philos-Soc Welfare/Work","941
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 289 of 391",""
