"VET","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COMPARATIVE BIOSCIENCES","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fund Principles-Vet Anatomy","500
001","82","3.061","28.0","15.9","24.4","11.0","17.1","3.7","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Veterinary Histology","501
001","82","2.823","3.7","30.5","35.4","12.2","6.1","12.2","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Veterinary Develomntl Anat","503
001","82","3.409","36.6","30.5","19.5","7.3","4.9","1.2","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Veterinary Physiology A","551
001","84","3.036","23.8","7.1","40.5","19.0","6.0","2.4","","1.2","",".","",".","",".",".","",".","",".","",".",".","."
"","699
010","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
017","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","","","","","","","","",""
"COMP BIO
934","Dept. Total","332","3.026","23.5","20.8","29.8","12.3","8.4","","4.8","","0.3","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","395","3.221","19.7","20.8","45.1","7.8","6.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","156","3.108","17.9","15.4","46.2","9.6","10.9","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","551","3.192","19.2","19.2","45.4","8.3","7.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","551","3.192","19.2","19.2","45.4","8.3","7.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
