"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Computr Applic Phmcy Pract","470
001","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
002","16","3.364","12.5","62.5","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","19","3.436","21.1","57.9","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","550
001","56","3.236","23.2","28.6","23.2","17.9","5.4",".",".","1.8",".",".",".",".",".",".",".","."
"","550
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","Course Total","60","3.220","23.3","28.3","21.7","18.3","6.7",".",".","1.7",".",".",".",".",".",".",".","."
"","001
555","130","2.798","4.6","17.7","33.1","25.4","16.2","2.3",".","0.8",".",".",".",".",".",".",".","."
"","555
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacotherapy I","Course Total","135","2.808","5.9","17.8","32.6","24.4","16.3","2.2",".","0.7",".",".",".",".",".",".",".","."
"","570
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
570","7","3.071","28.6","28.6","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","Course Total","11","2.818","27.3","27.3","9.1","9.1","9.1","9.1","9.1",".",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600
001","10","3.550","10.0","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiopharmaceuticals","612
001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cl Case Studies-Ambultry Care","620
001","59","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy III","655
001","112","2.857","19.6","11.6","21.4","25.9","18.8",".","2.7",".",".",".",".",".",".",".",".","."
"","664
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","664
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","2","***","","","","","","","","","","","","","","","",""
"Veterinary Therapeutics","670
001","65","3.873","81.5","10.8","6.2","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","699
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
074","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
083","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","9","3.867","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Renal Pharmacotherapy","002
723","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Neuropsych Pharmacotherapy","727
002","9","3.000","33.3","11.1","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","740
003","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
004","17","3.856","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
103","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","35","3.854","74.3","22.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
003","21","3.810","71.4","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
004","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
103","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
104","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","46","3.862","80.4","13.0","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Chron Illnss","746
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
003","49","3.643","61.2","16.3","12.2","10.2",".",".",".",".",".",".",".",".",".",".",".","."
"","004
760","51","3.647","56.9","29.4","2.0","9.8","2.0",".",".",".",".",".",".",".",".",".",".","."
"","760
103","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
