"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"","812
001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
812","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
003","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
004","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
005","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","008
812","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
812","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
812","","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
011","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
012","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","74","3.703","45.9","48.6","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Rsch-Anesthesiology-CSC","910
045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","14","3.821","64.3","7.1","21.4",".",".",".",".",".",".",".",".",".",".",".",".","7.1"
"","921
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","921
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesth Clerk-LaCrosse","Course Total","","2","***","","","","","","","","","","","","","","","",""
