"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"310
Drugs and Their Actions","001","","166","3.088","27.1","14.5","23.5","15.1","12.7","1.2","1.2","2.4",".",".",".",".","1.8","0.6",".","."
"401
Survey of Pharmacology","001","","148","3.159","23.6","20.3","35.8","10.1","8.1","1.4","0.7",".",".",".",".",".",".",".",".","."
"420
Intro-Drug Action&Delivry I","001","","137","2.651","3.6","11.7","25.5","35.0","21.2","2.9",".",".",".",".",".",".",".",".",".","."
"465
Phmcol:Non-Prescriptn Drugs","001","","103","2.860","10.7","17.5","28.2","17.5","22.3","1.0",".","2.9",".",".",".",".",".",".",".","."
"490
Selected Topics-Pharm Sci","001","","121","3.632","53.7","23.1","19.8","2.5","0.8",".",".",".",".",".",".",".",".",".",".","."
"495","001","","44","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"495","002","","36","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"495","003","","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Selected Topics-Pharm Sci","Course Total","","121","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"521
Pharmacology I","001","","139","2.817","14.4","14.4","29.5","18.0","18.0","4.3","1.4",".",".",".",".",".",".",".",".","."
"531
Medicinal Chemistry I","001","","124","2.577","8.1","4.8","31.5","10.5","43.5","0.8","0.8",".",".",".",".",".",".",".",".","."
"540
Drug Delivery Systems","001","","117","3.021","8.5","18.8","43.6","26.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"541
Drug Delivery Systems Lab I","001","","121","3.640","54.5","23.1","19.0","2.5","0.8",".",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","8","3.000","25.0","37.5","12.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","001","","116","2.655","6.9","9.5","33.6","16.4","29.3","4.3",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","11","3.000","18.2","9.1","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".","."
"635
Drug Interactions","001","","6","3.813","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
Senior Thesis","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"768
Pharmacokinetics","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"770
Special Topics in Pharm Sci","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Special Topics-Pharm Sci","001","","19","3.184","10.5","31.6","47.4","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"890
Chem-Biology Interface I","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"931
Conference-Research Workers","001","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 376 of 391",""
