"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","170","2.751","14.7","14.7","23.5","8.2","32.9","2.9","1.2","0.6",".",".",".",".",".","1.2",".","."
"","100","002","161","2.717","13.7","11.2","25.5","15.5","29.8","3.1","1.2",".",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","331","2.735","14.2","13.0","24.5","11.8","31.4","3.0","1.2","0.3",".",".",".",".",".","0.6",".","."
"Archaeology & Prehist World","102","001","181","2.732","16.0","10.5","22.7","12.7","34.3","1.1","1.7","0.6",".",".",".",".",".",".","0.6","."
"Cult Anthro&Human Diversity","104","001","558","3.289","21.5","30.5","34.2","9.1","1.3","0.5","0.5","2.3",".",".",".",".",".",".",".","."
"Intro Human Biology","105","001","166","2.825","13.9","21.1","27.1","10.2","18.7","9.0",".",".",".",".",".",".",".",".",".","."
"Human Biology Laboratory","106","001","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","112","001","54","3.407","35.2","33.3","22.2","3.7","1.9","3.7",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","41","2.988","34.1","2.4","36.6",".","17.1","2.4","4.9","2.4",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","61","2.869","11.5","26.2","31.1","6.6","18.0","3.3","3.3",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hominoid Evolution","302","001","59","2.415","20.3","10.2","18.6","8.5","18.6","10.2","13.6",".",".",".",".",".",".",".",".","."
"Archaeological Chemistry","311","001","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Indians of North America","314","001","79","3.240","35.4","21.5","20.3","10.1","3.8","5.1","1.3","2.5",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321","001","80","2.681","21.3","10.0","25.0","8.8","22.5","6.3","6.3",".",".",".",".",".",".",".",".","."
"","330","001","41","3.401","31.7","26.8","26.8","7.3",".","2.4",".","4.9",".",".",".",".",".",".",".","."
"","330","002","27","3.578","48.1","29.6","11.1","3.7","3.7",".",".",".",".",".",".",".","3.7",".",".","."
"Topics in Ethnology","","Course Total","68","3.468","38.2","27.9","20.6","5.9","1.5","1.5",".","2.9",".",".",".",".","1.5",".",".","."
"The Ancient Maya","335","001","97","2.894","7.2","21.6","39.2","11.3","13.4","3.1","1.0","3.1",".",".",".",".",".",".",".","."
"Archaeology of Wisconsin","354","001","24","3.543","45.8","29.2","4.2","16.7",".",".",".","4.2",".",".",".",".",".",".",".","."
"Medical Anthropology","365","001","45","3.300","20.0","28.9","46.7",".","4.4",".",".",".",".",".",".",".",".",".",".","."
"The Anthropology of War","374","001","26","3.865","73.1","26.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language and Culture","430","001","18","3.500","44.4","16.7","27.8","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"","490","001","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","16","3.531","50.0","31.3",".","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","490","003","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","004","12","3.167","33.3","25.0","16.7","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","56","3.580","53.6","28.6","7.1","5.4","3.6","1.8",".",".",".",".",".",".",".",".",".","."
"Biology of Mind","619","001","24","3.261","25.0","12.5","45.8","12.5",".",".",".",".",".",".",".",".",".",".",".","4.2"
"Senior Honors Thesis","681","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","001","15","3.663","40.0","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"","690","002","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Problems in Anthropology","","Course Total","24","3.782","58.3","29.2","4.2",".",".",".",".","4.2",".",".",".",".",".",".","4.2","."
"Senior Thesis","691","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","1","***","","","","","","","","","",".",".",".",".",".",".","."
