"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"","699
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","812
014","","13","3.538","15.4","76.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
015","","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
016","","13","3.615","30.8","61.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
017","","10","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","018
812","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
019","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Ophthalmology","Course Total","","72","3.646","36.1","56.9","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","919
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv 4th Yr Clin Clerkship","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
