"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"155
Intro to Biology of Aging","001","","12","3.333","41.7",".","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"380
Contemp Populatn Probs-Honors","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"650","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"650","002","","13","3.462","38.5","15.4","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","15","3.533","46.7","13.3","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","4","***","","","","","","","","","","","","","","","",""
"703
Qual-Hlth Care:Eval&Assurnc","001","","23","3.909","78.3","17.4",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"707
Care Org:Struct,Opertn,Mgmt","001","","24","3.955","83.3","8.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"718
International Health Systems","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Legal Iss-Hlth Care Admin","002","","24","3.630","37.5","45.8","12.5",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"795
Determinants-Population Health","001","","28","3.911","85.7","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"797
Strategy&Meth-Epidemiology","001","","42","3.488","26.2","50.0","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"802
Epidemiol-Chronic Diseases","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"803
Monitoring Population Health","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"877
Econ Analysis-Population Hlth","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"879
Politics of Health Policy","001","","24","3.783","66.7","16.7","12.5",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"900
Quant Meth-Populatn Health II","001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Doctoral Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","Course Total","","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","19","",".",".",".",".",".",".",".","94.7",".",".",".","5.3",".",".",".","."
