"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"","415
001","","20","3.200","5.0","60.0","15.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","415
002","","22","3.114","4.5","40.9","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","415
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","415
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Pharm Externship","Course Total","","49","3.255","14.3","46.9","22.4","8.2","8.2",".",".",".",".",".",".",".",".",".",".","."
"Computr Applic Phmcy Pract","001
470","","12","3.625","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","490
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","550
001","","35","3.171","14.3","31.4","34.3","14.3","5.7",".",".",".",".",".",".",".",".",".",".","."
"","550
002","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","Course Total","","41","3.268","22.0","31.7","29.3","12.2","4.9",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","555
001","","110","2.845","11.8","10.9","31.8","32.7","9.1","3.6",".",".",".",".",".",".",".",".",".","."
"","570
001","","37","3.797","78.4","8.1","8.1","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","570
003","","21","3.762","81.0","9.5","4.8",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","Course Total","","58","3.784","79.3","8.6","6.9","3.4",".","1.7",".",".",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600
001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiopharmaceuticals","612
001","","10","3.556","50.0","10.0","20.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Institutional Pharmcy Pract","616
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","662
001","","21","3.190","23.8","42.9","9.5","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","662
002","","21","3.619","57.1","19.0","14.3","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Inpatient Clerkshp&Extrnshp","Course Total","","42","3.405","40.5","31.0","11.9","11.9","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"","663
001","","18","3.517","27.8","55.6","5.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
663","","13","3.675","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Outpatient Clerkship","Course Total","","31","3.582","35.5","48.4","9.7","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"","664
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","664
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Advanced Inpatient Clerkshp","666
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Veterinary Therapeutics","670
001","","22","3.929","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","14","3.962","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","723
002","","12","3.667","66.7","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","723
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Renal Pharmacotherapy","Course Total","","16","3.656","68.8","12.5","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Infect Disease Pharmacother","724
001","","38","3.558","31.6","44.7","21.1","2.6",".",".",".",".",".",".",".",".",".",".",".","."
