"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","251","2.992","12.0","15.9","51.8","8.8","6.4","4.4","0.4","0.4",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","399","079","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Property Risk Management","610","001","28","3.074","25.0","28.6","17.9",".","21.4",".","3.6","3.6",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620","001","45","3.122","20.0","8.9","57.8","2.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Life and Health Insurance","630","001","28","3.018","21.4","21.4","25.0","17.9","10.7",".","3.6",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640","001","21","3.262","38.1","28.6","4.8","4.8","23.8",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700","001","20","3.400","35.0","15.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Risk Financing Techniques","815","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","5","***","","","","","","","","","","","","","","","",""
