"L&S","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","282","2.673","13.8","10.6","22.7","15.6","27.0","7.1","0.7","1.8","0.4",".",".",".",".","0.4",".","."
"","125
001","278","2.704","12.2","17.3","18.3","25.9","15.5","9.4","1.1","0.4",".",".",".",".",".",".",".","."
"","002
125","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Amer Society","Course Total","291","2.757","15.1","17.5","17.5","24.7","14.8","8.9","1.0","0.3",".",".",".",".",".",".",".","."
"Criminal Justice in America","131
001","103","3.039","14.6","13.6","47.6","15.5","6.8",".","1.0","1.0",".",".",".",".",".",".",".","."
"","134
001","424","3.109","12.5","28.8","40.6","7.3","7.1","1.7","0.7","1.2",".",".",".",".",".","0.2",".","."
"","002
134","89","2.897","19.1","18.0","21.3","15.7","19.1","2.2","2.2","2.2",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","513","3.080","13.6","26.9","37.2","8.8","9.2","1.8","1.0","1.4",".",".",".",".",".","0.2",".","."
"","001
138","73","3.466","45.2","37.0","5.5","4.1","4.1","1.4","2.7",".",".",".",".",".",".",".",".","."
"","002
138","90","3.078","17.8","27.8","28.9","12.2","10.0","2.2","1.1",".",".",".",".",".",".",".",".","."
"The Sociology of Gender","Course Total","163","3.279","30.1","31.9","18.4","8.6","7.4","1.8","1.8",".",".",".",".",".",".",".",".","."
"","160
001","152","2.757","7.2","18.4","31.6","13.2","27.0","0.7","2.0",".",".",".",".",".",".",".",".","."
"","160
002","55","3.417","32.7","36.4","20.0","5.5","1.8",".","1.8","1.8",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","Course Total","207","2.895","14.0","23.2","28.5","11.1","20.3","0.5","1.9","0.5",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181
001","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
016","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
090","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","20","3.924","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","118","3.214","27.1","28.0","25.4","9.3","5.9","0.8","2.5",".",".",".",".",".",".",".",".","0.8"
"Gender & Work-Rural America","215
001","17","2.794","5.9","23.5","23.5","17.6","29.4",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","001
236","16","3.533","31.3","37.5","25.0",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"SE Asia:Vietnam to Philipns","244
001","9","3.071","22.2","11.1","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".","22.2"
"Envir, Nat Rsrce & Communty","248
001","20","2.775","10.0","10.0","45.0","5.0","25.0","5.0",".",".",".",".",".",".",".",".",".","."
"Organizations and Society","250
001","49","3.092","18.4","32.7","20.4","18.4","6.1","2.0","2.0",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252
001","8","3.500","12.5","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","25","2.380","12.0",".","32.0","4.0","36.0","12.0","4.0",".",".",".",".",".",".",".",".","."
"Honors Tutorial","288
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","34","3.485","35.3","47.1","11.8","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"","357
002","44","3.523","34.1","36.4","29.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
003","35","3.600","60.0","17.1","14.3","5.7",".","2.9",".",".",".",".",".",".",".",".",".","."
"","357
004","33","3.773","75.8","12.1","3.0","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","146","3.589","50.0","28.8","15.8","4.1",".","0.7","0.7",".",".",".",".",".",".",".",".","."
"","360
001","34","3.091","29.4","17.6","29.4","5.9","5.9","5.9","2.9",".",".",".",".",".",".",".",".","2.9"
"","360
002","35","3.200","31.4","17.1","28.6","11.4","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","69","3.147","30.4","17.4","29.0","8.7","7.2","4.3","1.4",".",".",".",".",".",".",".",".","1.4"
"Stats for Sociologists II","361
001","29","3.552","44.8","31.0","13.8","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","17","3.588","47.1","23.5","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computing-Sociologcl Resrch","365
001","15","3.571","53.3","20.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7"
"Processes-Deviant Behavior","001
421","80","2.967","16.3","13.8","38.8","16.3","11.3","3.8",".",".",".",".",".",".",".",".",".","."
"Criminology","441
001","103","3.203","9.7","30.1","50.5","5.8","1.9",".",".","1.0",".",".",".",".",".","1.0",".","."
"","475
001","26","2.769","11.5","19.2","30.8","19.2","7.7","7.7","3.8",".",".",".",".",".",".",".",".","."
