"MED","","","","","","","","","","","","","","","","","","","",""
"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"","812
001","","47","3.574","21.3","72.3","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
002","","36","3.625","27.8","69.4","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Ophthalmology","Course Total","","83","3.596","24.1","71.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ophthalmology Selective","820
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","910
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","910
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Indiv 4th Yr Clin Clerkship","919
001","","6","3.667","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","33.3"
"OPHTHALM
702","Dept. Total","","95","3.577","26.3","64.2","6.3",".",".",".",".","1.1",".",".",".",".",".",".",".","2.1"
