"MED","","","","","","","","","","","","","","","","","","","",""
"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"Independent Study","699
061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
001","","49","3.604","42.9","34.7","18.4","2.0",".",".",".",".",".",".",".",".",".",".",".","2.0"
"","002
812","","41","3.646","46.3","36.6","17.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","90","3.624","44.4","35.6","17.8","1.1",".",".",".",".",".",".",".",".",".",".",".","1.1"
"Individualized 4th Yr Clerk","919
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","920
001","","11","3.882","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Anesth Clerk-LaCrosse","921
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"ANESTHES
148","Dept. Total","","105","3.670","50.5","30.5","17.1","1.0",".",".",".",".",".",".",".",".",".",".",".","1.0"
