"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"","475","002","23","3.725","60.9","30.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","475","003","31","3.677","61.3","16.1","19.4","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","80","3.399","45.0","21.3","18.8","8.8","2.5","2.5","1.3",".",".",".",".",".",".",".",".","."
"Contemporary Soc Theory","476","001","15","3.533","53.3","13.3","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","496","001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","20","3.840","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530","001","49","2.857","8.2","24.5","32.7","12.2","18.4","2.0","2.0",".",".",".",".",".",".",".",".","."
"","530","002","62","2.565","14.5","9.7","24.2","6.5","33.9","8.1","3.2",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","","Course Total","111","2.715","11.7","16.2","27.9","9.0","27.0","5.4","2.7",".",".",".",".",".",".",".",".","."
"Social Behavior Dynamics","537","001","14","3.071","21.4","14.3","35.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Small Groups","538","001","28","3.232","32.1","14.3","28.6","17.9","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544","001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspec-Life Course&Age","575","001","22","3.682","72.7","9.1","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Religion","615","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Development","617","001","11","3.182",".","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Compar Societal Analysis","620","001","22","3.476","54.5","22.7","4.5","4.5",".","9.1",".",".",".",".",".",".","4.5",".",".","."
"Political Sociology","624","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Movements","626","001","25","3.579","44.0","36.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Compar IR-Devel Countries I","628","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","15","3.467","60.0","13.3","20.0",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Complex Organization","632","001","37","3.286","43.2","18.9","13.5","8.1","5.4",".","5.4",".",".",".",".",".","2.7","2.7",".","."
"Social Stratification","633","001","40","3.808","65.0","27.5","5.0",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"Sociology of the Family","640","001","30","3.233","20.0","33.3","23.3","20.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"Sociology and Law","641","001","151","3.006","20.5","23.2","21.9","17.9","11.9","3.3","1.3",".",".",".",".",".",".",".",".","."
"Modern American Communities","645","001","23","3.630","47.8","30.4","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Agriculture","650","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Economic Sociology II","652","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Population and Society","663","001","21","3.602","38.1","47.6","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Urbanism and Urbanization","677","001","10","2.950","20.0","20.0","10.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","681","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","036","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","691","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","036","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 288 of 375",""
