"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","224","2.516","13.8","12.5","12.9","17.0","27.2","11.2","3.1","1.8",".",".",".",".",".",".","0.4","."
"","102
001","14","3.500","14.3","14.3",".","7.1",".",".",".","50.0","7.1",".",".",".",".","7.1",".","."
"","102
002","17","3.885","70.6",".",".","5.9",".",".",".","23.5",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","31","3.778","45.2","6.5",".","6.5",".",".",".","35.5","3.2",".",".",".",".","3.2",".","."
"","111
001","22","3.861","59.1","22.7",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"","111
002","20","3.719","40.0","35.0","5.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","Course Total","42","3.794","50.0","28.6","2.4",".",".",".",".","19.0",".",".",".",".",".",".",".","."
"Adapted Fitness&Pers Traing","125
001","42","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"","127
001","22","3.143","9.1","13.6","27.3","13.6",".",".",".","36.4",".",".",".",".",".",".",".","."
"","002
127","24","3.079","4.2","29.2","25.0","16.7","4.2",".",".","20.8",".",".",".",".",".",".",".","."
"","127
003","28","2.889",".","21.4","14.3","21.4","7.1",".",".","35.7",".",".",".",".",".",".",".","."
"","127
004","22","3.056","13.6","18.2","22.7","18.2","9.1",".",".","13.6","4.5",".",".",".",".",".",".","."
"Bowling I","Course Total","96","3.036","6.3","20.8","21.9","17.7","5.2",".",".","27.1","1.0",".",".",".",".",".",".","."
"","001
129","28","3.923","39.3","7.1",".",".",".",".",".","53.6",".",".",".",".",".",".",".","."
"","002
129","41","3.974","90.2",".","2.4",".",".",".",".","4.9",".",".",".",".",".","2.4",".","."
"Intro to Yoga Practice","Course Total","69","3.961","69.6","2.9","1.4",".",".",".",".","24.6",".",".",".",".",".","1.4",".","."
"Running (Aerobic Fitness)","130
001","23","3.633","26.1","30.4","8.7",".",".",".",".","30.4",".",".",".",".",".","4.3",".","."
"","131
001","18","3.571","22.2","44.4","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","131
002","19","3.192","31.6","5.3","15.8","10.5",".",".","5.3","31.6",".",".",".",".",".",".",".","."
"","003
131","17","3.400","41.2","23.5","17.6",".",".",".","5.9","11.8",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","54","3.393","31.5","24.1","14.8","3.7",".",".","3.7","22.2",".",".",".",".",".",".",".","."
"","132
001","23","3.667","21.7","26.1","4.3",".",".",".",".","47.8",".",".",".",".",".",".",".","."
"","132
002","21","3.176","19.0","33.3","14.3","4.8","4.8",".","4.8","9.5","4.8",".",".",".",".",".",".","4.8"
"","132
003","27","2.625","3.7","14.8","22.2",".","7.4","7.4","3.7","29.6","11.1",".",".",".",".",".",".","."
"","132
004","23","3.500","13.0","43.5","13.0",".",".",".",".","26.1",".",".",".",".",".","4.3",".","."
"","132
005","26","3.500","15.4","46.2","15.4",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"","132
006","26","2.868","7.7","42.3","7.7",".","3.8",".","11.5","23.1","3.8",".",".",".",".",".",".","."
"","132
007","25","3.467","24.0","16.0","12.0","8.0",".",".",".","40.0",".",".",".",".",".",".",".","."
"","132
008","20","3.423","10.0","40.0","10.0","5.0",".",".",".","35.0",".",".",".",".",".",".",".","."
"","132
009","20","3.250","5.0","30.0","20.0",".","5.0",".",".","40.0",".",".",".",".",".",".",".","."
"","132
010","24","3.029","16.7","20.8","12.5","8.3","8.3",".","4.2","29.2",".",".",".",".",".",".",".","."
"Weight Training","Course Total","235","3.232","13.6","31.1","13.2","2.6","3.0","0.9","2.6","30.2","2.1",".",".",".",".","0.4",".","0.4"
"","001
133","24","3.474","33.3","25.0","12.5",".",".",".","4.2","25.0",".",".",".",".",".",".",".","."
"","133
002","15","3.154","40.0","13.3",".","26.7",".",".","6.7","13.3",".",".",".",".",".",".",".","."
"","133
003","24","3.525","50.0","16.7","8.3","4.2",".",".","4.2","16.7",".",".",".",".",".",".",".","."
"","133
004","22","3.500","22.7","22.7","13.6","4.5",".",".",".","31.8",".",".",".",".",".","4.5",".","."
"","005
133","28","3.333","14.3","17.9","28.6","3.6",".",".",".","32.1",".",".",".",".",".","3.6",".","."
"Rhythmic/Step Aerobics","Course Total","113","3.411","31.0","19.5","14.2","6.2",".",".","2.7","24.8",".",".",".",".",".","1.8",".","."
"","134
001","18","3.750","50.0","33.3","5.6",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","134
002","24","3.475","25.0","37.5","16.7",".","4.2",".",".","16.7",".",".",".",".",".",".",".","."
"","003
134","15","3.667","33.3","13.3","13.3",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"","134
004","24","3.750","37.5","4.2","4.2","4.2",".",".",".","45.8",".",".",".",".",".",".",".","4.2"
"","134
005","16","3.538","43.8","18.8","6.3","6.3","6.3",".",".","12.5",".",".",".",".","6.3",".",".","."
"","134
006","20","3.553","45.0","25.0","15.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
