"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Woman-Western Culture","101","001","111","3.366","26.1","34.2","25.2","8.1","3.6",".",".","2.7",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","98","3.392","23.5","42.9","24.5","6.1","1.0","1.0",".","1.0",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","398","3.414","28.9","40.5","18.3","7.8","2.8","0.8",".","1.0",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215","001","16","3.250","31.3","37.5","6.3",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","31","3.583","48.4","22.6","19.4","6.5",".",".",".","3.2",".",".",".",".",".",".",".","."
"Race & Ethnicity-U.S. Women","223","001","79","3.291","16.5","40.5","30.4","10.1","2.5",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","110","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics - Women & Humanities","310","001","37","3.372","27.0","40.5","27.0","2.7",".",".","2.7",".",".",".",".",".",".",".",".","."
"Tpc:Women & Society","320","001","31","3.333","19.4","29.0","45.2","3.2",".",".",".",".",".",".",".",".",".","3.2",".","."
"Gender, Race & Class","323","001","30","3.483","56.7","3.3","36.7",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Gend/Class/Race/Ethn-SocSci","331","001","33","3.439","45.5","15.2","27.3","6.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"Women-Amer Society: 1870 on","354","001","30","3.394","23.3","40.0","30.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Fem Theatre&Critcsm","415","001","16","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructns-Gender in Media","421","001","42","3.807","64.3","33.3","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Feminisms","423","001","11","3.227","27.3","27.3","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","35","3.886","80.0","17.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Women","522","001","26","3.771","69.2","11.5","3.8","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"Biology and Gender","530","001","39","3.205","28.2","23.1","23.1","12.8","12.8",".",".",".",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531","001","14","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Gender and Education","560","001","33","3.484","39.4","39.4","12.1",".",".","6.1",".",".","3.0",".",".",".",".",".",".","."
"Advanced Smr in Women's St","640","001","20","3.770","55.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis I","691","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","119","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Research","999","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
