"PEDIATRICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","",""
"","699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","812","001","","37","3.514","24.3","54.1","21.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812","002","","42","3.451","23.8","45.2","26.2",".","2.4",".",".",".",".",".",".",".",".",".",".","2.4"
"3rd Year Pediatrics","","Course Total","","79","3.481","24.1","49.4","24.1",".","1.3",".",".",".",".",".",".",".",".",".",".","1.3"
"Individualized 4th Yr Clerk","919","001","","7","3.800","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Pediatric Subinternship-CSC","920","001","","19","3.789","63.2","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Pediatric Clerk-Mshfld","922","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Pediat Clerk-Green Bay","923","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rural Pediatrics-Whitehall","925","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambul Clin Ped Clerk-LaCros","926","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Subintrn Newborn Med-Meritr","928","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Peds Sub-Intrn Newborn-Milw","930","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","946","001","","6","3.955","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ped Endocr/DiabetesClrk-CSC","950","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Genetics Clerk-CSC","953","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hematol-Oncology Clerk-CSC","956","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Neonatal Clerk-Marshfield","962","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Neurol Clerk-CSC","965","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Sports Med-CSC","966","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ped Pulmon/Allergy Clrk-CSC","967","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PEDIAT
708","","Dept. Total","","146","3.591","41.8","40.4","15.1",".","0.7",".",".",".",".",".",".",".",".",".",".","2.1"
