"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"","726
001","","31","3.468","41.9","25.8","19.4","9.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"","726
002","","23","3.130","13.0","13.0","65.2","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","726
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","726
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","726
006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","726
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hematol&Oncol Pharmacother","Course Total","","63","3.450","36.5","17.5","36.5","6.3","3.2",".",".",".",".",".",".",".",".",".",".","."
"","727
002","","20","3.125","25.0","15.0","40.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","727
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neuropsych Pharmacotherapy","Course Total","","21","3.119","23.8","14.3","42.9","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","740
001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacy Specialty Clerkshp","Course Total","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","741
001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medicatn Use Policy Clrkshp","743
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Cl Phmkintcs&Biophmceut","750
001","","36","3.042","25.0","19.4","11.1","27.8","16.7",".",".",".",".",".",".",".",".",".",".","."
"","760
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
003","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pharmacy Specialty Clrk","Course Total","","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
004","","15","3.862","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Ambltry Phmct Care Clrk","Course Total","","38","3.933","89.5","7.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
001","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","771
002","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","771
003","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Conf Rsch Wrkrs-Clin Pharm","Course Total","","63","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","961
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","999
027","","6","4.000","50.0",".",".",".",".",".",".",".",".",".",".","50.0",".",".",".","."
