"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","24","2.682","16.7","4.2","20.8","29.2","8.3","12.5",".","8.3",".",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"420
Urban & Regional Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"544
Intro to Survey Research","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"617
Community Development","001","","15","3.500","26.7","40.0","13.3","6.7",".",".",".","6.7",".",".",".",".","6.7",".",".","."
"645
Modern American Communities","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"677
Urbanism and Urbanization","001","","14","2.846","28.6",".","35.7",".","21.4",".","7.1","7.1",".",".",".",".",".",".",".","."
"699
Directed Study","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"720
Urban Economics","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"721","001","","18","3.611","50.0","27.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"721","002","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Planning Analysis","Course Total","","24","3.563","45.8","25.0","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"741
Introduction to Planning","001","","18","3.853","66.7","27.8",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"809
Energy Analys & Policy Smr","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812
Planning Effectiveness","001","","20","3.700","55.0","30.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"932
Smr-Rsch Review & Criticism","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"969
Smr:Trends&Iss-Public Plan","001","","20","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"974
Topics in Public Affairs","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","10","4.000","20.0",".",".",".",".",".",".","50.0",".",".",".","30.0",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","3","***","","","","","","","","","","","","","","","",""
