"EDU","","","","","","","","","","","","","","","","","","","","",""
"","THERAPEUTIC SCI (DEPT-KINES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100","001","","53","3.566","66.0","5.7","13.2","9.4","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Terminology","148","001","","46","3.784","80.4","2.2","6.5",".","6.5",".",".","4.3",".",".",".",".",".",".",".","."
"Neurology","502","001","","43","3.849","72.1","25.6","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orthopedics","503","001","","43","3.465","34.9","30.2","27.9","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Use of Activity","524","001","","47","3.511","21.3","59.6","19.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Occupatnl Perfrmnc","530","001","","46","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Occ Ther Pro Practice","538","001","","46","3.924","87.0","10.9","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adp&Cnst Eqp-Peopl/Disbilts","546","001","","16","3.531","37.5","31.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631","001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties I","639","001","","42","3.655","45.2","45.2","7.1",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Thry-Occup,Adaptn,Mntl Hlth","648","001","","42","3.869","76.2","21.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Mental Health","649","001","","42","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Internship II","651","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Internship III","652","001","","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","662","001","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","662","002","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork in Mental Health","","Course Total","","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","664","001","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","664","002","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork-Physical Disabil","","Course Total","","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Rsch Iss in Early Develop","760","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","775","203","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","791","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","791","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
