"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"574
Veterinary Prev Medicine","001","","72","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Veterinary Medicine I","001","","74","3.021","9.5","13.5","59.5","4.1","12.2",".",".",".",".",".",".",".","1.4",".",".","."
"624
Theriogenology I","001","","72","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"670","001","","47","2.500","2.1",".",".",".",".","2.1",".","95.7",".",".",".",".",".",".",".","."
"670","203","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","","51","2.500","2.0",".",".",".",".","2.0",".","96.1",".",".",".",".",".",".",".","."
"671","001","","20","4.000","45.0",".",".",".",".",".",".","55.0",".",".",".",".",".",".",".","."
"671","002","","21","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"671","003","","17","4.000","41.2",".",".",".",".",".",".","58.8",".",".",".",".",".",".",".","."
"671","004","","16","4.000","68.8",".",".",".",".",".",".","31.3",".",".",".",".",".",".",".","."
"671","005","","45","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"671","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Small Animl Med","Course Total","","120","4.000","54.2",".",".",".",".",".",".","45.8",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","31","4.000","35.5",".",".",".",".",".",".","64.5",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","23","4.000","4.3",".",".",".",".",".",".","95.7",".",".",".",".",".",".",".","."
"675","001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","002","","73","3.753","58.9","31.5","6.8","1.4",".",".",".",".",".",".",".",".","1.4",".",".","."
"675","003","","11","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"675","008","","24","",".",".",".",".",".",".",".","95.8",".",".",".",".",".","4.2",".","."
"675","011","","16","",".",".",".",".",".",".",".","93.8",".",".",".",".",".","6.3",".","."
"675","013","","6","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"675","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"675","015","","27","4.000","3.7",".",".",".",".",".",".","96.3",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","176","3.801","30.1","13.1","2.8","0.6",".",".",".","51.7",".",".",".",".","0.6","1.1",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.833","40.0",".","10.0",".",".",".",".","40.0",".",".",".",".",".","10.0",".","."
"701
Production Medicine I","001","","8","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"703
Production Medicine II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"705
Prod Med III-Appl Dy Nutr","001","","8","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"775","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 367 of 375",""
