"MED","","","","","","","","","","","","","","","","","","","",""
"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"","812
001","","44","3.557","45.5","27.3","20.5","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"","812
002","","35","3.329","20.0","42.9","22.9","11.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"Third Year Neurology","Course Total","","79","3.456","34.2","34.2","21.5","8.9","1.3",".",".",".",".",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","922
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","922
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Neurol Consul Serv-CSC","Course Total","","6","3.900","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","50.0"
"Clin Neurol-Outpt Clerk-CSC","923
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neuromusc Disease Clerk-CSC","924
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"NEUROL
676","Dept. Total","","89","3.494","36.0","32.6","19.1","7.9","1.1",".",".",".",".",".",".",".",".",".",".","3.4"
