"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"310
Drugs and Their Actions","001","","69","3.199","34.8","10.1","31.9","11.6","5.8","4.3",".","1.4",".",".",".",".",".",".",".","."
"401
Survey of Pharmacology","001","","118","3.286","40.7","17.8","19.5","8.5","10.2","0.8","1.7",".",".",".",".",".",".",".","0.8","."
"420
Intro-Drug Action&Delivry I","001","","121","2.781","9.9","18.2","24.0","22.3","21.5","4.1",".",".",".",".",".",".",".",".",".","."
"465
Phmcol:Non-Prescriptn Drugs","001","","47","2.968","10.6","19.1","40.4","12.8","17.0",".",".",".",".",".",".",".",".",".",".","."
"490
Selected Topics-Pharm Sci","001","","107","3.449","39.3","26.2","25.2","5.6","2.8","0.9",".",".",".",".",".",".",".",".",".","."
"495","001","","40","3.925","92.5","5.0",".",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"495","002","","42","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"495","003","","28","3.821","82.1","7.1","7.1",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Pharm Sci","Course Total","","110","3.918","90.9","5.5","1.8",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"521
Pharmacology I","001","","120","2.525","8.3","11.7","22.5","13.3","34.2","9.2","0.8",".",".",".",".",".",".",".",".","."
"531
Medicinal Chemistry I","001","","112","2.496","8.9","4.5","33.9","5.4","37.5","8.0","1.8",".",".",".",".",".",".",".",".","."
"540
Drug Delivery Systems","001","","96","2.859","11.5","12.5","18.8","51.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"541
Drug Delivery Systems Lab I","001","","107","3.449","39.3","26.2","25.2","5.6","2.8","0.9",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","001","","10","2.050",".","20.0","10.0","10.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","10","3.400","30.0","20.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"635
Drug Interactions","001","","18","3.685","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Substnc Abuse&Chem Dependnc","001","","24","2.917","8.3","4.2","58.3","20.8","8.3",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","14","3.960","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Special Topics-Pharm Sci","001","","9","3.167","11.1","33.3","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"890
Chem-Biology Interface I","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Topics:Chem-Biol Intrface I","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"931","001","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Conference-Research Workers","Course Total","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","7","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"990","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 360 of 375",""
