"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"Directed Study","699
214","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiology Selective","820
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","919
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","920
001","","31","3.786","58.1","41.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Nuclr Med Clerk-CSC/VA","923
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Radiol Clerk-St Lukes","924
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"RADIOL
832","Dept. Total","","68","3.907","79.4","19.1",".",".",".",".",".",".",".",".",".",".",".",".",".","1.5"
