"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"155
Intro to Biology of Aging","001","","16","3.156","31.3","6.3","43.8",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"502
Air Pollution&Human Health","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"650","001","","18","3.794","55.6","38.9",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"650","002","","11","3.750","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","003","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","005","","27","3.980","88.9","3.7",".",".",".",".",".",".",".",".",".",".","7.4",".",".","."
"650","006","","26","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","007","","15","3.679","33.3","60.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"650","009","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","010","","27","3.846","66.7","29.6",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Special Topics","Course Total","","139","3.804","62.6","26.6","7.2",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"662
Intro-Health & Medical Sys","001","","26","3.840","76.9","7.7","11.5",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
"703
Qual-Hlth Care:Eval&Assurnc","002","","17","3.885","64.7","5.9","5.9",".",".",".",".",".",".",".",".",".","23.5",".",".","."
"707
Care Org:Struct,Opertn,Mgmt","001","","16","3.800","68.8","12.5","12.5",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"719
Smr-Contemp Iss:Health Care","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"731
Legal Iss-Hlth Care Admin","001","","15","3.577","26.7","46.7","13.3",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"797
Strategy&Meth-Epidemiology","001","","32","3.645","50.0","28.1","15.6","3.1",".",".",".",".",".",".",".",".","3.1",".",".","."
"802
Epidemiol-Chronic Diseases","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"879
Politics of Health Policy","001","","17","3.500","35.3","5.9","35.3",".",".",".",".",".",".",".",".",".","23.5",".",".","."
"889
Hlth Mgmt Ethics&Leadership","002","","15","3.500","20.0","53.3","20.0",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"911
Epidemiol Elect-Div of Hlth","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915
Fundmtls Interntl Hlth-MSC","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","11","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
