"MEDICINE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","",""
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","160","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","812","001","","25","3.386","24.0","24.0","44.0",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"","812","002","","24","3.426","25.0","33.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812","003","","25","3.367","12.0","48.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin Int Med-Basic Clrkship","","Course Total","","74","3.393","20.3","35.1","41.9",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"Indep Rdg & Rsch-4th Yr Med","910","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Therapeut&Cl Pharmacol-VAH","915","002","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","919","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Req 4th Yr Med Subintrnshp","920","001","","90","3.800","62.2","35.6","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulat Med Clerk-Stdt Hlth","921","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gen Medicine Subintern-CSC","929","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Oncol Conslt&Outpt Clrk-VAH","936","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Allergy&ClinImmun Clerk-CSC","940","001","","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Clin Electrophys-Milwaukee","942","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiol Consult Serv-CSC","943","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Cardiol Clerkshp-VAH","944","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiol-Clin Clerk-LaCrosse","950","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Dermatology Clerkship-CSC","953","001","","22","3.957","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Emergency Med Clerkshp-Milw","956","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Emergency Med Clrk-Meriter","957","001","","12","3.636","33.3","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"Emergency Med Clerkshp-CSC","960","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Nutrition Counslng Clrk-CSC","963","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Gastroenterology Clerk-CSC","965","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hematol/Gen Int Med-Mrshfld","967","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Infect Disease Clerkshp-CSC","971","001","","8","3.733","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Infect Disease Clerkshp-VAH","972","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Infectious Disease-Marshfld","973","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pulmonary Dis Clerk-LaCross","983","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Crit Care-ICU Subintrn-Milw","984","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Critical Care Medicine-CSC","985","001","","25","3.708","48.0","40.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","4.0"
"Crit Care/Med ICU-Marshfld","987","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Elect Rheumtol-CSC/VAH","988","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Rheumatol Clerk-Mshfld","989","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","990","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
