"Bioethics and the Law","905
001","","2","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
003","","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
005","","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Advanced Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","","","","","",""
"MED HIST
452","Dept. Total","","66","3.381","30.3","30.3","21.2","6.1","3.0","1.5","",".","6.1","",".",".","",".","1.5","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","1.000",".",".",".",".",".","100.0","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","","6","3.556","33.3","50.0","16.7",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","","14","3.280","21.4","42.9","21.4",".","14.3",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","","24","3.319","25.0","33.3","25.0","16.7",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","45","3.286","24.4","37.8","22.2","8.9","4.4","2.2","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","","6","3.813","66.7","33.3",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","13","3.717","38.5","7.7","15.4",".",".",".","",".","30.8","",".",".","",".","7.7","",".",".",".","."
"Prof Yr 2","","","2","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","","2","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","","66","3.381","30.3","30.3","21.2","6.1","3.0","1.5","",".","6.1","",".",".","",".","1.5","",".",".",".","."
