"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Intl Industrial Firms&Orgs","467","001","","34","2.956","14.7","17.6","38.2","8.8","17.6","2.9",".",".",".",".",".",".",".",".",".","."
"Ag Econ Development-Africa","477","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Economics of Transportation","502","001","","10","3.000","30.0","20.0",".",".","40.0",".",".","10.0",".",".",".",".",".",".",".","."
"Public Sector Bargaining","539","001","","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compar IR-Devel Countries I","628","001","","7","3.143","28.6","28.6",".","28.6","14.3",".",".",".",".",".",".",".",".",".",".","."
"Population and Society","663","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Mathematical Economics I","703","001","","23","3.397","21.7","39.1","30.4","4.3",".",".",".",".",".",".",".",".",".","4.3",".","."
"Econ Stats & Econometrics I","709","001","","41","3.240","22.0","34.1","34.1","4.9","2.4",".","2.4",".",".",".",".",".",".",".",".","."
"","711","001","","23","3.587","60.9","8.7","21.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","711","002","","16","3.250","25.0","6.3","62.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","","Course Total","","39","3.449","46.2","7.7","38.5","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"","712","001","","20","3.526","40.0","25.0","25.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","712","002","","13","3.231","23.1","23.1","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","","Course Total","","33","3.406","33.3","24.2","30.3","6.1","3.0",".",".","3.0",".",".",".",".",".",".",".","."
"Econometric Methods","716","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","741","002","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation","743","001","","6","4.000","66.7",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","16.7"
"Labor Economics","750","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Organizat Theory","761","001","","6","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Development Planning & Adm","771","001","","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Microeconomic Theory I","805","002","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics - Public Finance","845","001","","6","3.591","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","871","001","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Dev-Thy Stat & Policy","878","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Economic Development","879","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp in Math Econ Theory","901","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","903","001","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop in Econometrics","913","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","955","001","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","965","001","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop-Public Economics","968","001","","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","977","001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 192 of 375",""
