"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"812","001","","43","3.267","25.6","44.2","18.6",".","7.0",".","4.7",".",".",".",".",".",".",".",".","."
"812","002","","40","3.397","27.5","47.5","15.0",".","5.0",".","2.5",".","2.5",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","Course Total","","83","3.329","26.5","45.8","16.9",".","6.0",".","3.6",".","1.2",".",".",".",".",".",".","."
"919
Individualized 4th Yr Clerk","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"921
Gynecol Oncology Clerk-CSC","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922
Inpt-Outpt Clerk-Marshfield","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"923
Perinatal Clerkship-Milw","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925
High Risk Obst Clrk-Meriter","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"927
ObGyn Inpatnt Clrk-LaCrosse","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"OBS&GYN
436","Dept. Total","","108","3.413","38.0","39.8","13.0",".","4.6",".","2.8",".","0.9",".",".",".",".",".",".","0.9"
