"PHM","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC
728","Dept. Total","744","3.491","40.3","19.2","16.8","9.9","3.6","0.8","0.1","0.1","",".","8.5","",".","0.4","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"Junior","","311","3.454","37.9","28.9","13.5","7.7","4.2",".","0.3",".","",".","7.4","",".",".",".",".",".","."
"Senior","","67","3.833","61.2","13.4","6.0",".",".",".",".",".","",".","19.4","",".",".",".",".",".","."
"Undergraduates","","378","3.536","42.1","26.2","12.2","6.3","3.4",".","0.3",".","",".","9.5","",".",".",".",".",".","."
"Special","","29","3.716","69.0","10.3","10.3","3.4",".","3.4",".","3.4","",".",".","",".",".",".",".",".","."
"Graduate","","18","3.700","55.6",".","16.7","5.6",".",".",".",".","",".",".","",".","16.7","5.6",".",".","."
"Prof Yr 1","","218","3.418","27.1","7.3","17.9","4.1","1.8","0.5",".",".","",".","2.3","",".","39.0",".",".",".","."
"Prof Yr 2","","219","2.916","46.6","6.8","23.3","15.5","5.0","1.8",".",".","",".","0.9","",".",".",".",".",".","."
"Prof Yr 4","","98","3.795","55.1","10.2","8.2","5.1","1.0",".",".",".","",".","20.4","",".",".",".",".",".","."
"Professionals","","535","3.394","40.2","7.7","18.3","9.0","3.0","0.9",".",".","",".","5.0","",".","15.9",".",".",".","."
"","Dept. Total","960","3.491","42.1","14.9","15.6","7.7","3.0","0.6","0.1","0.1","",".","6.6","",".","9.2","0.1",".",".","."
