"PHM","","","","","","","","","","","","","","","","","","",""
"SOCIAL & ADMINISTRATIVE PHA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","",""
"Psychosocial Aspects-Pharm","411
001","107","3.565","43.0","35.5","15.9","4.7",".","0.9",".",".",".",".",".",".",".",".",".","."
"Marketng&Econ Aspects-Pharm","510
001","105","2.948","7.6","17.1","42.9","23.8","7.6","1.0",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","29","3.276","27.6","6.9","62.1",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Community Phcy Management","621
001","8","3.000",".","12.5","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem:Social & Behav Phcy","622
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","699
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmaceutical Market Rsch","711
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Conference-Research Workers","911
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Rsch in Sociol of Med","921
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","10","4.000","10.0",".",".",".",".",".",".","90.0",".",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","280","3.304","29.3","21.8","30.7","11.1","3.2","0.7",".","3.2",".",".",".",".",".",".",".","."
