"MEDICAL MICROBIOL & IMMUN","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"620
M M & I","","","","","","","","","","","","","","","","","","","",""
"301
Pathogenic Microorganisms","001","","137","3.062","16.1","23.4","31.4","21.2","5.8","1.5","0.7",".",".",".",".",".",".",".",".","."
"302","001","","36","3.139","22.2","16.7","30.6","27.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"302","002","","37","3.135","21.6","16.2","37.8","16.2","8.1",".",".",".",".",".",".",".",".",".",".","."
"Pathogenic Microorgnsm Lab","Course Total","","73","3.137","21.9","16.4","34.2","21.9","5.5",".",".",".",".",".",".",".",".",".",".","."
"341
Immunology","001","","62","3.032","32.3","11.3","19.4","17.7","12.9","6.5",".",".",".",".",".",".",".",".",".","."
"450
Gastro Ecol&Anaerobic Micrb","001","","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"504
Infect Disease-Human Beings","001","","43","3.302","23.3","23.3","44.2","9.3",".",".",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","142","2.979","28.9","2.1","36.6","0.7","30.3","0.7",".","0.7",".",".",".",".",".",".",".","."
"529","001","","30","3.533","36.7","43.3","13.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"529","002","","35","3.800","65.7","28.6","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Immunology Laboratory","Course Total","","65","3.677","52.3","35.4","9.2","1.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"677
Adv Topics-Medicl Microbiol","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"696","001","","57","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"696","002","","39","3.679","43.6","48.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Seminar","Course Total","","96","3.870","77.1","19.8","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","34","3.944","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Infection and Immunity I","001","","137","3.423","46.0",".","51.8",".","1.5",".","0.7",".",".",".",".",".",".",".",".","."
"720
Topics in Immunology","001","","17","3.735","47.1","52.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Journal Club","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"901
Seminar","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
