"Grad Studies-Medical Hist","919
001","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
001","","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
002","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","","","","","","",""
"MED HIST
452","Dept. Total","","72","3.632","45.8","23.6","20.8",".","2.8","",".","",".","2.8","",".",".","",".","",".","2.8",".","1.4","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","10","3.250","30.0","30.0","20.0",".","20.0","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","32","3.707","50.0","28.1","12.5",".",".","",".","",".",".","",".",".","",".","",".","6.3",".","3.1","."
"Undergraduates","","","42","3.590","45.2","28.6","14.3",".","4.8","",".","",".",".","",".",".","",".","",".","4.8",".","2.4","."
"Special","","","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Graduate","","","28","3.730","50.0","17.9","32.1",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","72","3.632","45.8","23.6","20.8",".","2.8","",".","",".","2.8","",".",".","",".","",".","2.8",".","1.4","."
