"PHARMACY PRACTICE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Cnsmr SelfCare&OverCountrDrugs","305","001","71","2.803","12.7","23.9","18.3","15.5","23.9","4.2","1.4",".",".",".",".",".",".",".",".","."
"Pharmacy Practice Experience I","425","001","137","3.949","96.4","2.2",".","0.7",".",".","0.7",".",".",".",".",".",".",".",".","."
"Intro-Phm Prac Experience III","525","033","135","3.854","91.1","3.7",".","1.5","0.7",".","2.2",".",".",".",".",".","0.7",".",".","."
"Fluid & Electrolyte Therapy","550","001","53","3.734","47.2","35.8","5.7",".",".",".",".","11.3",".",".",".",".",".",".",".","."
"Pharmacotherapy I","555","001","136","3.287","16.9","37.5","35.3","8.1","1.5","0.7",".",".",".",".",".",".",".",".",".","."
"Medical Imaging for Pharmacist","611","001","15","3.400","20.0","46.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Sys Pharm Analysis & Inf","617","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacotherapy III","655","001","129","3.357","19.4","42.6","30.2","5.4","2.3",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670","001","44","4.000","97.7",".",".",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Intro to Academic Pharmacy I","671","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Geriatrics","676","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Cardiology","677","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","086","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","740","003","26","3.788","69.2","19.2","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","104","20","3.775","75.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","","Course Total","46","3.783","71.7","15.2","10.9","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","741","003","25","3.880","84.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","104","24","3.891","79.2","12.5","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Ambulatry Phmceut Care Clrk","","Course Total","49","3.885","81.6","10.2","6.1",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"","760","003","76","3.820","71.1","21.1","5.3","1.3",".",".",".",".",".",".",".",".","1.3",".",".","."
"","760","040","80","3.753","65.0","21.3","10.0","2.5",".",".",".",".",".",".",".",".","1.3",".",".","."
"","760","103","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760","113","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","","Course Total","159","3.786","66.7","20.8","7.5","1.9",".",".",".",".",".",".",".",".","3.1",".",".","."
"Vet Pharmacy Clerkship","764","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","961","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999","028","7","3.909","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
