"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","165","2.716","9.7","18.2","27.3","6.1","31.5","4.2","1.2","1.8",".",".",".",".",".",".",".","."
"","100","002","136","2.778","13.2","11.0","33.1","3.7","37.5","0.7",".",".",".",".",".",".",".",".",".","0.7"
"General Anthropology","","Course Total","301","2.744","11.3","15.0","29.9","5.0","34.2","2.7","0.7","1.0",".",".",".",".",".",".",".","0.3"
"Archaeology & Prehist World","102","001","132","2.690","12.1","12.9","16.7","18.9","35.6","0.8","0.8",".",".",".",".",".",".","1.5",".","0.8"
"","104","001","377","3.128","11.1","27.1","46.2","8.5","5.8","0.5","0.3",".",".",".",".",".",".",".","0.5","."
"","104","002","400","3.118","12.5","26.5","46.5","7.5","4.5","1.8","0.8",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","","Course Total","777","3.123","11.8","26.8","46.3","8.0","5.1","1.2","0.5",".",".",".",".",".",".",".","0.3","."
"Principles - Biological Anthro","105","001","312","3.412","46.5","23.7","12.8","6.1","8.7","1.3","1.0",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","112","001","77","2.820","14.3","14.3","32.5","13.0","16.9","3.9","2.6","1.3",".",".",".",".",".",".",".","1.3"
"Africa: Introductory Survey","277","001","31","3.306","3.2","74.2","19.4",".",".",".","3.2",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","62","3.258","9.7","41.9","41.9","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","25","3.040","24.0","32.0","8.0","16.0","12.0","8.0",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","12","2.792","25.0","8.3","33.3",".","25.0",".","8.3",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","310","001","22","3.357","40.9","13.6","13.6","27.3",".",".",".","4.5",".",".",".",".",".",".",".","."
"Indians of North America","314","001","53","2.863","15.1","11.3","26.4","22.6","18.9","1.9",".","3.8",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321","001","64","2.377","21.9","9.4","17.2","6.3","15.6","7.8","17.2","4.7",".",".",".",".",".",".",".","."
"Political Anthropology","350","001","24","3.776","50.0","41.7",".",".",".",".",".",".",".",".",".",".","4.2",".","4.2","."
"Anthropology of China","358","001","24","3.646","50.0","37.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Quechua","361","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Course in Archaeology","370","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","15","3.500","40.0","33.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","410","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","410","002","27","3.096","25.9","14.8","29.6","3.7","22.2",".",".",".","3.7",".",".",".",".",".",".","."
"Evolutionary Biology","","Course Total","31","3.133","25.8","16.1","32.3","3.2","19.4",".",".",".","3.2",".",".",".",".",".",".","."
"American Indian Folklore","431","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethnobotany","474","001","11","3.409","45.5","9.1","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","490","001","20","3.625","65.0",".","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","490","002","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","28","3.589","57.1","7.1","32.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primate Conservation","668","001","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","690","002","14","3.890","64.3","21.4",".",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"","690","003","9","3.089","33.3","33.3",".",".","11.1",".","11.1",".",".",".",".",".",".","11.1",".","."
"Problems in Anthropology","","Course Total","23","3.565","52.2","26.1",".",".","4.3",".","4.3","4.3",".",".",".",".","4.3","4.3",".","."
"","691","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Archaeologic Meth-Curation","696","001","9","3.955","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 159 of 403",""
