"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","217","3.299","25.8","32.7","25.3","8.8","3.7","2.3",".","1.4",".",".",".",".",".",".",".","."
"363
Develp: Adolescence-Old Age","001","","212","3.486","33.5","42.5","15.6","4.7","1.9","0.5","0.5","0.5",".",".",".",".",".",".",".","0.5"
"425
Rsch Meth in Hum Devel&Fam St","001","","36","3.329","19.4","44.4","25.0","2.8","2.8","2.8",".",".",".",".",".",".","2.8",".",".","."
"471
Parent-Child Relations","001","","30","3.750","56.7","36.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"474
Racial Ethnic Families in U.S.","001","","32","3.953","90.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","008","","52","3.827","82.7","7.7","1.9","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"501","035","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","039","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"501","041","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","80","3.881","87.5","5.0","2.5","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"516
Family Stress and Coping","001","","35","3.686","54.3","31.4","11.4","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"522
American Indian Families","001","","29","3.931","93.1",".","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","47","3.415","44.7","23.4","17.0","8.5","4.3",".","2.1",".",".",".",".",".",".",".",".","."
"601","001","","25","3.788","92.0",".",".","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"601","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"601","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","33","3.837","93.9",".",".","3.0",".",".","3.0",".",".",".",".",".",".",".",".","."
"663
Developmental & Fam Assessment","001","","28","3.750","75.0","14.3","3.6",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"664
Prosmr:Human Dev & Fam Studies","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"761
Childhood and the Family","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"766
Current Iss-Family Living","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"818
Attachment Thry & Relationship","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"865
Family Theory I (Survey)","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"872
Bridging Gap: Rsch & Action","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","17","",".",".",".",".",".",".",".","82.4",".",".",".","17.6",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
