"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"401
Survey of Pharmacology","001","","217","3.396","45.6","17.5","21.2","6.9","6.5","0.5","1.4","0.5",".",".",".",".",".",".",".","."
"420
Intro-Drug Action&Delivry I","001","","136","3.441","24.3","52.9","13.2","7.4","1.5","0.7",".",".",".",".",".",".",".",".",".","."
"432
Pharmaceutical Biochemistry","001","","135","3.152","25.2","25.2","25.9","11.1","9.6","1.5","1.5",".",".",".",".",".",".",".",".","."
"490
Selected Topics-Pharm Sci","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"493
Selected Topics-Pharm Sci","001","","13","3.792","61.5","23.1","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"521","001","","133","3.365","33.8","22.6","31.6","9.8","0.8","1.5",".",".",".",".",".",".",".",".",".","."
"521","002","","20","3.100","15.0","30.0","35.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Pharmacology I","Course Total","","153","3.330","31.4","23.5","32.0","9.8","1.3","2.0",".",".",".",".",".",".",".",".",".","."
"540
Drug Delivery Systems","001","","133","3.015","6.0","13.5","63.2","12.0","5.3",".",".",".",".",".",".",".",".",".",".","."
"542
Drug Delivery System Lab II","001","","134","3.765","66.4","23.1","9.7",".",".","0.7",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","22","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","001","","126","3.655","50.8","32.5","14.3","1.6","0.8",".",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","15","3.400","33.3","13.3","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","32","4.000","96.9",".",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"768
Pharmacokinetics","001","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Principles of Pharmaceut Sci","001","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Chem-Biology Interface I","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","002","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","003","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","45","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 387 of 403",""
