"PHM","","","","","","","","","","","","","","","","","","",""
"SOCIAL & ADMINISTRATIVE PHA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychosoc & Mgmt Aspects-Pharm","411
001","136","3.507","34.6","39.7","22.1","2.9",".",".","0.7",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Decision-Making/Phm Pract","618
001","125","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem in Social & Admin Pharm","622
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","699
065","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Eval-Pharmceut Serv, Prgm, Pol","711
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Seminar in SAS","911
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
065","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"Advanced Independent Study","999
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","306","3.711","64.4","20.3","10.1","1.3",".",".","0.3","2.0",".",".",".","0.3","1.3",".",".","."
