"POLITICAL SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","","",""
"Public Opinion","473","001","","37","3.043","27.0","21.6","16.2","8.1","16.2","2.7","2.7","5.4",".",".",".",".",".",".",".","."
"Ancient&Medvl West Thought","501","001","","16","3.400","37.5","25.0","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".","6.3","."
"Contemp Political Thought","503","001","","22","2.909","9.1","13.6","50.0","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","506","001","","21","3.500","42.9","14.3","23.8","9.5",".",".",".","4.8",".",".",".",".","4.8",".",".","."
"","506","002","","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Philos","","Course Total","","34","3.578","41.2","32.4","14.7","5.9",".",".",".","2.9",".",".",".",".","2.9",".",".","."
"Intro Stat Inference-Pol Rsch","551","001","","18","3.111","16.7","22.2","33.3","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"Hist-Amer Political Thought","565","001","","32","2.724","25.0","15.6","15.6","3.1","15.6","6.3","9.4","6.3",".",".",".",".",".","3.1",".","."
"Comparative Politics of Sport","616","001","","34","3.015","14.7","23.5","23.5","26.5","11.8",".",".",".",".",".",".",".",".",".",".","."
"Latin-American Politics","630","001","","19","3.471","26.3","31.6","31.6",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Russian Politics","633","001","","46","3.100","17.4","28.3","32.6","8.7","6.5","2.2","2.2",".",".",".",".",".",".","2.2",".","."
"Senior Honors Thesis","682","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis Smr","683","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Research Internship","685","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","695","002","","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","695","003","","13","3.538","46.2","23.1","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","695","004","","10","3.611","40.0","30.0","20.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","695","006","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem: Topics in Poli Sci","","Course Total","","51","3.670","51.0","31.4","13.7","2.0",".",".",".",".",".",".",".",".","2.0",".",".","."
"Directed Study","698","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","17","3.821","76.5","11.8","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Poli Sci-Discipline&Profession","800","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Stats in Political Sci","812","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Maximum Likelihood Estimation","818","001","","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Political Psychology","823","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Political Communication","829","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Formal Models in Political Sci","836","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Political Economy","840","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Smr-Comparative Politics","856","001","","10","3.700","60.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Relations Theories","857","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"State&Society-Comprtv Perspctv","862","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
