"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","",""
"PHYSICIAN ASSISTANT PROGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","","",""
"Clinical Medicine I","601
001","","41","3.341","9.8","58.5","24.4","4.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"","610
001","","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","610
002","","29","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinic Prevnt & Commnty Prac I","Course Total","","59","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","617
001","","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","617
002","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professional Seminar II","Course Total","","57","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Advanced Patient Evaluation I","620
001","","38","3.539","15.8","76.3","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
630","","30","3.033","3.3","43.3","20.0","23.3","10.0",".",".",".",".",".",".",".",".",".",".","."
"","630
002","","8","3.438",".","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women's Hlth-Physician Asstnts","Course Total","","38","3.118","2.6","52.6","18.4","18.4","7.9",".",".",".",".",".",".",".",".",".",".","."
"","001
640","","31","3.129","3.2","45.2","29.0","19.4","3.2",".",".",".",".",".",".",".",".",".",".","."
"","640
002","","10","3.300","10.0","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pharmacology I","Course Total","","41","3.171","4.9","46.3","29.3","17.1","2.4",".",".",".",".",".",".",".",".",".",".","."
"","650
001","","31","3.194",".","54.8","32.3","9.7","3.2",".",".",".",".",".",".",".",".",".",".","."
"","650
002","","10","3.200",".","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnostic Methods I","Course Total","","41","3.195",".","53.7","34.1","9.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"","699
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","717
001","","24","",".",".",".",".",".",".",".",".",".","95.8",".",".",".",".",".","."
"","717
002","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professional Smnr & Capstone I","Course Total","","52","",".",".",".",".",".",".",".",".",".","98.1",".",".",".",".",".","."
"","729
001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
729","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Preceptor: Surgery","Course Total","","21","3.905","81.0","19.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
739","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","739
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Precptrshp: Fam Med","Course Total","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","749
001","","14","3.846","71.4","14.3","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","749
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Precptrshp: Int Med","Course Total","","17","3.875","76.5","11.8","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","001
759","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","759
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Phys Asst Precptrshp: Emrg Med","Course Total","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Preceptorship:Electve","769
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
