"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"699","104","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","105","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"812","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","003","","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"812","004","","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","005","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","007","","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","39","3.500","41.0","15.4","41.0",".",".",".",".",".",".",".",".",".",".",".","2.6","."
"919
Individualized 4th Yr Clerk","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesth Clerk-LaCrosse","Course Total","","2","***","","","","","","","","","","","","","","","",""
