"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"625
Toxicology I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","160","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","169","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","179","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","180","","8","3.925","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","183","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","184","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","186","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","190","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","195","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","200","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","214","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","216","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","217","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","218","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","229","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","230","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","231","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","236","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","241","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","242","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","244","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","92","3.965","88.0","3.3","1.1",".",".",".",".",".",".",".",".",".","1.1",".","6.5","."
"812
Prin Int Med-Basic Clrkship","081","","31","3.383","22.6","29.0","45.2",".",".",".",".",".",".",".",".",".",".",".",".","3.2"
"916","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Palliative Care (CSC)","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"918
Hlth Informatics-Med Students","020","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","Page 347 of 403",""
