"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"328","001","","473","3.157","34.2","17.5","22.8","10.8","8.5","3.6","2.1",".",".",".",".",".","0.4",".",".","."
"328","002","","160","3.128","26.3","25.6","26.3","6.3","10.0","3.8","1.9",".",".",".",".",".",".",".",".","."
"328","003","","71","2.850","21.1","21.1","21.1","11.3","11.3","8.5","4.2","1.4",".",".",".",".",".",".",".","."
"Human Anatomy","Course Total","","704","3.120","31.1","19.7","23.4","9.8","9.1","4.1","2.3","0.1",".",".",".",".","0.3",".",".","."
"329","001","","85","3.406","37.6","28.2","22.4","5.9","4.7",".","1.2",".",".",".",".",".",".",".",".","."
"329","002","","85","3.453","47.1","27.1","14.1","2.4","5.9","2.4","1.2",".",".",".",".",".",".",".",".","."
"329","003","","85","3.600","54.1","20.0","20.0","3.5","2.4",".",".",".",".",".",".",".",".",".",".","."
"Human Anatomy-Kinesiology","Course Total","","255","3.486","46.3","25.1","18.8","3.9","4.3","0.8","0.8",".",".",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"637
Functional Neuroanatomy","001","","67","3.799","59.7","40.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675
Topics in Anatomy","021","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","29","3.978","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"722
Clinicl Anatomy & Radiology","004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
