"PHM","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC
728","Dept. Total","1042","3.644","60.3","19.5","12.2","3.6","2.2","0.4","0.5","0.7","",".",".","",".",".","0.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","29","2.397","3.4","13.8","20.7","17.2","31.0","10.3","3.4",".","",".",".","",".",".",".",".",".","."
"Sophomore","","24","2.958","8.3","29.2","25.0","20.8","16.7",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","","15","3.433","46.7","33.3",".",".","20.0",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","4","2.750",".","25.0","25.0","25.0","25.0",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","72","2.819","13.9","23.6","18.1","15.3","23.6","4.2","1.4",".","",".",".","",".",".",".",".",".","."
"Special","","3","3.500","33.3","33.3","33.3",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","17","3.958","94.1","5.9",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 1","","142","3.925","93.7","4.9",".","0.7",".",".","0.7",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","281","3.404","53.4","20.6","17.8","5.0","1.1","0.4","1.1",".","",".",".","",".",".","0.7",".",".","."
"Prof Yr 3","","397","3.539","34.5","18.9","10.8","1.8","0.8",".",".","1.8","",".",".","",".","31.5",".",".",".","."
"Prof Yr 4","","255","3.808","71.0","17.3","7.8","1.6",".",".",".",".","",".",".","",".",".","2.4",".",".","."
"Professionals","","1075","3.676","55.9","17.1","10.5","2.4","0.6","0.1","0.4","0.7","",".",".","",".","11.6","0.7",".",".","."
"","Dept. Total","1167","3.644","53.8","17.4","10.9","3.2","2.0","0.3","0.4","0.6","",".",".","",".","10.7","0.7",".",".","."
