"TERM : 1142","","","","Percentage Distribution of Grades","","","","","","","","","","","","Office of the Registrar"
"Fall 2013-2014","","","","","","","","","","","","","","","","Institutional Reporting"
"","","","","University of Wisconsin - Madison","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","",""
"PHYSICIAN ASSISTANT PROGR","Section
#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","",""
"PHY ASST
750","451
Dept. Total","3.627","18.6","27.7","10.4","4.4","1.3",".",".",".",".","37.0",".",".","0.2",".  
.  
."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW
NR
Other"
"","Grades","GPA","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","",""
"Prof Yr 1","335","3.269","3.9","34.3","13.7","6.0","1.8",".",".",".",".","40.3",".",".","",".  
.  
.  
."
