"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","",""
"SENIOR MEDICAL PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","","","","",""
"926","045","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Obstet & Gyn","Course Total","2","***","","","","","","","","","","","","","","","","","","","",""
"927","041","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"927","044","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Ophthalmolgy","Course Total","2","***","","","","","","","","","","","","","","","","","","","",""
"928
Extramur Elect-Pathology","043","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"929
Extramur Elect-Pediatrics","043","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"932
Extramur Elect-Radiology","041","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"934","003","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"934","004","1","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"934","041","3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Surgery","Course Total","5","***","","","","","","","","","","","","","","","","","","","",""
"936
Extramur Elec-Emergency Med","041","3","***","","","","","","","","","","","","","",".",".",".",".",".",".","."
"SR MED
882","Dept. Total","97","3.689","58.8","26.8","8.2","1.0","1.0","",".","",".","",".","",".",".",".",".","1.0",".","3.1","."
