"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","176","3.810","70.5","22.7","5.1","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"212
Hum Response-Hlth & Illness I","001","","151","3.791","62.9","32.5","4.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"219
Clinical Nursing I","001","","151","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"299","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","078","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","083","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Hlth Hist&Patient Assessmnt","001","","151","3.828","72.2","21.9","5.3","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"310
Mntl Hlth&Illness:Implcatn/Nur","001","","143","3.780","74.1","16.1","4.2","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"322
Community Health Nursing","001","","74","3.757","62.2","32.4","1.4","2.7","1.4",".",".",".",".",".",".",".",".",".",".","."
"419
Clin III-Com Hlth Nurs Prac","001","","60","3.908","95.0",".",".","1.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"422
Adv Concepts-Nurs Practice","001","","69","3.500","24.6","55.1","17.4","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"433
Essentials-Gerontol Nursing","001","","143","3.745","60.8","30.1","7.0","1.4","0.7",".",".",".",".",".",".",".",".",".",".","."
"449
Persons&Family/Complx Needs","001","","68","3.934","88.2","10.3","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"470
Primary Health Care-School","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Culturally Congruent Practice","001","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"590","005","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"590","007","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"680
Honors Seminar","001","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"681","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","16","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"698","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"698","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
