"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","117","3.406","17.9","49.6","29.1","2.6","0.9",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","83","2.807","4.8","28.9","25.3","24.1","9.6","4.8","2.4",".",".",".",".",".",".",".",".","."
"Cont Issues-Social Welfare","275
001","81","3.167","7.4","39.5","37.0","11.1","4.9",".",".",".",".",".",".",".",".",".",".","."
"","400
006","11","4.000","54.5",".",".",".",".",".",".",".",".",".",".",".","45.5",".",".","."
"","400
007","9","3.895","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","9","3.890","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","15","3.937","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
010","12","3.704","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","400
011","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
016","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
017","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
018","11","3.136",".","27.3","72.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
019","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","020
400","7","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","400
029","6","3.800","66.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Field Pract/Integrat Smr I","Course Total","128","3.806","70.3","15.6","7.0","0.8",".",".","0.8",".",".",".",".",".","5.5",".",".","."
"Poverty and Social Welfare","420
001","23","2.891","4.3","21.7","43.5","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","440
001","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
440","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
003","25","3.860","84.0","4.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","28","3.714","57.1","32.1","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","440
005","16","3.719","62.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","440
006","22","3.810","63.6","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","4.5","."
"Prac I:Foundatn-Generalst Prac","Course Total","130","3.834","70.8","21.5","5.4","1.5",".",".",".",".",".",".",".",".",".",".","0.8","."
"","441
001","81","3.844","77.8","18.5","1.2",".",".",".","1.2",".",".",".",".",".","1.2",".",".","."
"","002
441","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
441","12","3.292","8.3","58.3","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","441
004","16","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
301","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prac II: Individls, Fam, Grps","Course Total","123","3.749","59.3","30.1","8.1",".","0.8",".","0.8",".",".",".",".",".","0.8",".",".","."
"Alcohol & Other Drug Abuse","453
001","137","3.103","20.4","26.3","26.3","14.6","7.3","4.4",".",".",".",".",".",".","0.7",".",".","."
"Child Welfare","462
001","25","3.460","64.0","16.0","8.0","4.0",".",".","8.0",".",".",".",".",".",".",".",".","."
"Family Violence","523
001","36","3.057","22.2","36.1","16.7","8.3","5.6",".","8.3",".",".",".",".",".","2.8",".",".","."
"Homelessness: Service Learning","578
001","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
579","23","3.739","60.9","30.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
579","12","3.333","33.3","33.3","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","579
004","13","3.231","15.4","53.8","7.7","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Social Work","Course Total","57","3.579","50.9","31.6","5.3","7.0","5.3",".",".",".",".",".",".",".",".",".",".","."
"","605
001","51","3.740","45.1","49.0",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","605
002","32","3.781","68.8","21.9","6.3","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","605
003","10","3.833","60.0","30.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","Page 297 of 403",""
