"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"","475","004","","36","3.194","30.6","30.6","19.4","8.3","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","475","005","","28","3.107","14.3","35.7","25.0","14.3","7.1","3.6",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","105","3.136","23.8","28.6","21.0","13.3","6.7","2.9","1.9",".",".",".",".",".","1.9",".",".","."
"","496","004","","10","3.100","50.0","20.0",".",".","20.0",".","10.0",".",".",".",".",".",".",".",".","."
"","496","005","","14","3.958","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","496","006","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","007","","10","3.650","50.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","496","008","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","009","","15","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","80","3.813","82.5","10.0","1.3","1.3","2.5",".","1.3",".",".",".",".",".","1.3",".",".","."
"","530","001","","26","2.058","7.7","3.8","15.4","15.4","26.9","23.1","7.7",".",".",".",".",".",".",".",".","."
"","530","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Social Psychology","","Course Total","","27","2.093","7.4","3.7","18.5","14.8","25.9","22.2","7.4",".",".",".",".",".",".",".",".","."
"Public Hlth-Rural & Urban Comm","533","001","","15","3.300","33.3","46.7","6.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"Language&Social Interaction","535","001","","12","2.333","8.3","8.3","41.7","8.3","8.3","8.3","16.7",".",".",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","","11","3.409","36.4","36.4",".","27.3",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Stwrdshp & Soc Justice","541","001","","22","3.429","40.9","18.2","22.7","9.1","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"Collective Behavior","543","001","","48","3.277","18.8","35.4","31.3","6.3","6.3",".",".",".",".",".",".",".",".","2.1",".","."
"Soc Perspec-Life Course&Age","575","001","","35","3.414","34.3","34.3","17.1","8.6","5.7",".",".",".",".",".",".",".",".",".",".","."
"Poverty and Place","578","001","","13","3.077","30.8","23.1","15.4","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"Community Development","617","001","","10","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Class,State&Ideol:IntroMarx","621","001","","16","3.844","87.5",".","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Political Sociology","624","001","","14","2.821","35.7","7.1","21.4","14.3","7.1",".","14.3",".",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","30","3.552","30.0","46.7","20.0",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Sociology of Organizations","632","001","","20","3.028","35.0","10.0",".","35.0","5.0",".","5.0",".",".",".",".",".","10.0",".",".","."
"Sociology of Law","641","001","","38","2.757","18.4","21.1","15.8","10.5","18.4","10.5","2.6",".",".",".",".",".","2.6",".",".","."
"Soc-Occupations&Professions","643","001","","20","3.417","35.0","25.0","25.0",".",".","5.0",".",".",".",".",".",".","10.0",".",".","."
"Population and Society","663","001","","17","3.441","47.1","17.6","23.5",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Elem Demographic Techniques","674","001","","20","3.575","60.0","25.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","278","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","691","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
