"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","",""
"","140
001","","21","3.405","28.6","38.1","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","005
140","","18","3.353","22.2","38.9","22.2","5.6","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"Intro-Community & Envir Soc","Course Total","","39","3.382","25.6","38.5","20.5","10.3","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"Survey of Sociology","210
001","","28","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","","9","3.333","22.2","44.4","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Food, Culture, and Society","222
001","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ag&Soc Change-Western Hist","230
001","","64","3.056","15.6","20.3","34.4","15.6","9.4","1.6",".",".",".",".",".",".","1.6",".","1.6","."
"Independent Study","299
025","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
008","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
009","","7","3.357","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","","29","3.086","17.2","34.5","24.1","10.3","6.9","6.9",".",".",".",".",".",".",".",".",".","."
"","360
001","","10","3.100","20.0","20.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".","."
"","360
002","","10","3.200","20.0","40.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","003
360","","11","3.045","27.3",".","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","","31","3.113","22.6","19.4","22.6","29.0","6.5",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","","31","3.790","67.7","25.8","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","53","3.840","75.5","18.9","3.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","399
025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"People, Wildlife & Landscapes","434
001","","11","2.950",".","36.4","18.2","27.3","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"Capstone Experience","500
001","","26","3.577","26.9","61.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Hlth-Rural & Urban Comm","533
001","","15","3.533","33.3","46.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540
001","","21","3.675","52.4","23.8","19.0",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Envir Stwrdshp & Soc Justice","541
001","","31","3.565","54.8","25.8","9.7","3.2","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"Poverty and Place","578
001","","22","2.750","27.3","18.2","22.7","4.5","9.1","4.5","13.6",".",".",".",".",".",".",".",".","."
"Community Development","617
001","","21","3.429","42.9","23.8","14.3","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Sociol-Econ Change","940
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Environmental Sociol","948
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","","Page 41 of 403"
