"","POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"Intro to SAS Prog for Pop Hlth","451","001","","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502","001","","67","3.576","37.3","41.8","17.9",".","1.5",".",".",".",".",".",".",".",".",".",".","1.5"
"Intro to Biostats for Pop Hlth","551","001","","21","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations-Global Hlth Pract","640","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","029","","7","3.895","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","035","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","650","065","","67","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","073","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","88","3.984","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Regression Mthds-Pop Hlth","651","001","","9","3.688","33.3","55.6",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Communicating Public Hlth Info","660","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","13","3.963","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Health Systems","718","001","","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Hlth: Principles&Pract","780","001","","46","3.967","95.7","2.2","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","781","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","781","002","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","781","003","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to Public Health Seminar","","Course Total","","42","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Health Sys, Mngmnt, & Policy","785","002","","10","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","787","002","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","787","004","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MPH Field Experience Seminar","","Course Total","","28","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Health Field Experience","788","001","","13","3.818","23.1","15.4",".",".",".",".",".",".",".",".",".",".","61.5",".",".","."
"Biol Basis-Population Health","794","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Populatn Health Sci","795","002","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Epidemiology","797","001","","70","3.671","45.7","42.9","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Monitoring Population Health","803","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Epidemiologic Methods 4","805","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar","820","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","904","004","","28","3.750","64.3","10.7","17.9",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","904","005","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","904","102","","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Special Topics-Epidemiology","","Course Total","","49","3.856","75.5","6.1","12.2",".",".",".",".","2.0",".",".",".",".","4.1",".",".","."
"Internl Hlth Systems & Policy","915","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 28, 2014","","","","","","","","","","","","","","","","","","","","Page 371 of 403",""
