"MEDICAL HISTORY AND BIOETH Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","",""
"Childbirth in the US","431","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504","001","","23","3.587","52.2","30.4","8.7",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease & Healing I","507","001","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eth & Reg Iss-Clin Investigatn","545","001","","17","3.344","17.6","29.4","47.1",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Topics-Ethics & Hist of Med","559","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies in Med Ethics","734","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"MED HIST
452","","Dept. Total","","72","3.632","45.8","23.6","20.8",".","2.8",".",".","2.8",".",".",".",".","2.8",".","1.4","."
