"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","181","3.097","34.8","8.3","31.5","5.5","14.4","2.8","2.2","0.6",".",".",".",".",".",".",".","."
"Contemporary Topics","365","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Property Risk Management","610","001","54","3.231","29.6","20.4","27.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Liability Risk Management","615","001","40","3.449","52.5","5.0","22.5","12.5","5.0",".",".","2.5",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620","001","73","3.082","19.2","23.3","28.8","15.1","12.3","1.4",".",".",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650","001","28","3.411","35.7","32.1","28.6",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700","001","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Management","710","030","51","3.471","31.4","43.1","23.5",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799","017","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
